ProcessID,ProcessName,Location,Amount,Flowable,Context,Unit,FlowUUID
5622121C,MSW landfilling of Concrete,US,0.02075883507131992,"Taxes on production and imports, less subsidies",,USD,
5622121C,MSW landfilling of Concrete,US,7.275292665182213e-07,Jobs,,p,
5622121C,MSW landfilling of Concrete,US,0.05595912608302653,Compensation of employees,,USD,
5622121F,"MSW landfilling of Food Waste; National average LFG recovery, typical collection, National average conditions",US,0.05595912608302653,Compensation of employees,,USD,
5622121F,"MSW landfilling of Food Waste; National average LFG recovery, typical collection, National average conditions",US,7.275292665182213e-07,Jobs,,p,
5622121F,"MSW landfilling of Food Waste; National average LFG recovery, typical collection, National average conditions",US,0.02741473962156638,Methane,emission/air,kg,aab83476-ec6c-3742-af85-15d320b7ce80
5622121F,"MSW landfilling of Food Waste; National average LFG recovery, typical collection, National average conditions",US,0.02075883507131992,"Taxes on production and imports, less subsidies",,USD,
5622121F,"MSW landfilling of Food Waste; National average LFG recovery, typical collection, National average conditions",US,0.09574239118815825,Carbon dioxide,resource/air,kg,58b5cd90-8ba4-32ea-b4aa-3a3438ba8419
562213F,MSW combustion of Food Waste,US,0.05595912608302653,Compensation of employees,,USD,
562213F,MSW combustion of Food Waste,US,7.275292665182213e-07,Jobs,,p,
562213F,MSW combustion of Food Waste,US,0.0001356318543098846,Nitrous oxide,emission/air,kg,cfee0524-7ad6-300b-b050-6249135a2492
562213F,MSW combustion of Food Waste,US,0.02075883507131992,"Taxes on production and imports, less subsidies",,USD,
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,0.0003128122879061242,Nitrous oxide,emission/air,kg,cfee0524-7ad6-300b-b050-6249135a2492
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,0.001612391586313254,Methane,emission/air,kg,aab83476-ec6c-3742-af85-15d320b7ce80
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,1.162944509358672e-06,Jobs,,p,
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,0.04641636720386253,Compensation of employees,,USD,
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,0.036209822864778814,Carbon dioxide,resource/air,kg,58b5cd90-8ba4-32ea-b4aa-3a3438ba8419
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,-0.013191297936,Carbon dioxide,emission/air,kg,b6f010fb-a764-3063-af2d-bcb8309a97b7
5622191F,"Anaerobic digestion of Food Waste; Dry digestion, Cured",US,0.009579135342489914,"Taxes on production and imports, less subsidies",,USD,
5622192F,MSW composting of Food Waste,US,0.0062446262042814005,"Taxes on production and imports, less subsidies",,USD,
5622192F,MSW composting of Food Waste,US,0.0006975782093961523,Carbon dioxide,emission/air,kg,b6f010fb-a764-3063-af2d-bcb8309a97b7
5622192F,MSW composting of Food Waste,US,0.004646529288564562,Methane,emission/air,kg,aab83476-ec6c-3742-af85-15d320b7ce80
5622192F,MSW composting of Food Waste,US,7.054829251085784e-07,Jobs,,p,
5622192F,MSW composting of Food Waste,US,-0.8057218619111519,"Energy, heat",resource/air,MJ,8c959db8-d359-36e3-8517-588e1c21df4a
5622192F,MSW composting of Food Waste,US,0.03133226041138473,Compensation of employees,,USD,
5622192F,MSW composting of Food Waste,US,0.26529226178095977,Carbon dioxide,resource/air,kg,58b5cd90-8ba4-32ea-b4aa-3a3438ba8419
5622192F,MSW composting of Food Waste,US,5.830832651844915e-05,Nitrous oxide,emission/air,kg,cfee0524-7ad6-300b-b050-6249135a2492
5629201C,MSW recycling of Concrete,US,8.046914614519721e-07,Jobs,,p,
5629201C,MSW recycling of Concrete,US,0.04576159086399612,Compensation of employees,,USD,
5629201C,MSW recycling of Concrete,US,0.008366586564959547,"Taxes on production and imports, less subsidies",,USD,
