PROCESSNAME,REFERENCEFLOW,LOCATION,CATEGORY,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5
Transport of ash to landfill,Transport of ash to landfill,NULL,Transport,NULL,NULL,NULL,NULL
Wood chipping,Wood chipping,NULL,Other,NULL,NULL,NULL,NULL
"Electricity generation, at grid, East-North Central","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, West-North Central","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, Pacific","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, East-South Central","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, New England","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, Mountain","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, West-South Central","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, South Atlantic","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, National","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Electricity generation, at grid, Mid-Atlantic","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Landfill operation, diesel","Landfill operation, diesel",NULL,Transport,NULL,NULL,NULL,NULL
"Timber harvesting, pulpwood","Timber harvested, pulpwood",United States,Other,NULL,NULL,NULL,NULL
"Timber harvesting, wood","Timber harvested, wood",United States,Other,NULL,NULL,NULL,NULL
MSW combustion of HDPE,"HDPE, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of PS,"PS, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Paper (general),"Mixed Paper (general), combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Asphalt Shingles,"Asphalt Shingles, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Textbooks,"Textbooks, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Recyclables,"Mixed Recyclables, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Aluminum Ingot,"Aluminum Ingot, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Steel Cans,"Steel Cans, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of PET,"PET, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Dairy Products,"Dairy Products, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Metals,"Mixed Metals, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Grains,"Grains, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Organics,"Mixed Organics, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Wood Flooring,"Wood Flooring, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Office Paper,"Office Paper, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of PLA,"PLA, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Copper Wire,"Copper Wire, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Leaves,"Leaves, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Food Waste (non-meat),"Food Waste (non-meat), combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of PVC,"PVC, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Grass,"Grass, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Phonebooks,"Phonebooks, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Dimensional Lumber,"Dimensional Lumber, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Bread,"Bread, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Glass,"Glass, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Tires,"Tires, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Newspaper,"Newspaper, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
